 number name
3150 1.20.140.80 "Transcription factor DP "
3151 1.20.140.90 "Malonyl-CoA decarboxylase, oligemerization domain "
3152 1.20.140.100 "Dynein heavy chain, N-terminal domain 2 "
3153 1.20.140.110 
3154 1.20.140.120 
3155 1.20.140.130 
3156 1.20.140.140 "Calcium release-activated calcium channel protein Orai "
3157 1.20.140.150 
3158 1.20.140.160 
3159 1.20.140.180 
3160 1.20.140.190 
3161 1.20.141.10 "Chitosanase, subunit A, domain 1 "
3162 1.20.142.10 "Poly(ADP-ribose) polymerase, regulatory domain "
3163 1.20.142.20 
3164 1.20.144.10 "Phosphatidic acid phosphatase type 2/haloperoxidase "
3165 1.20.150.10 "Fertilization protein "
3166 1.20.150.20 "ATP synthase alpha/beta chain, C-terminal domain "
3167 1.20.150.30 "Zincin-like metallopeptidase, N-terminal domain "
3168 1.20.190.10 "Pesticidal crystal protein, N-terminal domain "
3169 1.20.190.20 "14-3-3 domain "
3170 1.20.190.30 "CAG pathogenicity island protein, CagZ "
3171 1.20.190.40 "Viral ssDNA binding protein, head domain "
3172 1.20.190.50 
3173 1.20.190.60 
3174 1.20.200.10 "Fumarase/aspartase (Central domain) "
3175 1.20.200.20 "She2 domain "
3176 1.20.210.10 "Cytochrome c oxidase-like, subunit I domain "
3177 1.20.225.10 "Bacteriocin AS-48 "
3178 1.20.225.20 "Ub domain-containing protein, DC-UbP/UBTD2, N-terminal domain "
3179 1.20.225.30 "Dihydrouridine synthase, C-terminal recognition domain "
3180 1.20.245.10 "Lipoxygenase-1; Domain 5 "
3181 1.20.250.10 "Colicin Ia, domain 1 "
3182 1.20.272.10 
3183 1.20.272.30 
3184 1.20.272.40 
3185 1.20.272.50 "Bacteriophage clamp loader A subunit, A' domain "
3186 1.20.272.60 
3187 1.20.810.10 "Cytochrome Bc1 Complex; Chain C "
3188 1.20.840.10 "Methyl-coenzyme M reductase, alpha/beta subunit, C-terminal "
3189 1.20.850.10 "Hydroxylamine Oxidoreductase; Chain A, domain 2 "
3190 1.20.860.20 "Photosystem I PsaK, reaction centre "
3191 1.20.870.10 "Son of sevenless (SoS) protein Chain S domain 1 "
3192 1.20.890.10 "cAMP-dependent protein kinase regulatory subunit, dimerization-anchoring domain "
3193 1.20.890.20 "mpn423 like domain "
3194 1.20.890.30 "VCA0319-like "
3195 1.20.890.70 "Protein translocase subunit SecA, preprotein binding domain "
3196 1.20.890.100 
3197 1.20.900.10 "Dbl homology (DH) domain "
3198 1.20.910.10 "Heme oxygenase-like "
3199 1.20.910.20 
3200 1.20.920.10 "Bromodomain-like "
3201 1.20.920.20 
3202 1.20.920.30 
3203 1.20.920.40 
3204 1.20.920.50 
3205 1.20.920.60 
3206 1.20.920.70 
3207 1.20.930.10 "Conserved domain common to transcription factors TFIIS, elongin A, CRSP70 "
3208 1.20.930.20 "Adaptor protein Cbl, N-terminal domain "
3209 1.20.930.40 "Transferrin receptor-like, dimerisation domain "
3210 1.20.930.50 
3211 1.20.930.60 
3212 1.20.930.70 
3213 1.20.930.80 
3214 1.20.940.10 "Functional domain of the splicing factor Prp18 "
3215 1.20.950.20 "Transmembrane di-heme cytochromes, Chain C "
3216 1.20.960.10 "Mitochondrial outer membrane translocase complex, subunit Tom20 domain "
3217 1.20.960.20 
3218 1.20.960.30 
3219 1.20.960.40 
3220 1.20.960.50 "Cleavage stimulation factor subunit 1, dimerisation domain "
3221 1.20.970.10 "Transferase, Pyrimidine Nucleoside Phosphorylase; Chain C "
3222 1.20.970.20 "Glycogen synthesis protein GlgS "
3223 1.20.970.30 "eIF4G, eIF4E-binding domain "
3224 1.20.970.40 
3225 1.20.970.50 
3226 1.20.990.10 "NADPH-cytochrome p450 Reductase; Chain A, domain 3 "
3227 1.20.1000.10 "Guanylate-binding protein, C-terminal domain "
3228 1.20.1020.10 "TAZ domain "
3229 1.20.1050.10 
3230 1.20.1050.20 "STAT transcription factor, all-alpha domain "
3231 1.20.1050.40 "Endopeptidase. Chain P; domain 1 "
3232 1.20.1050.50 "Particulate methane monooxygenase subunit c2. Chain C "
3233 1.20.1050.60 "alpha-1,2-mannosidase "
3234 1.20.1050.70 "Large T antigen, SV40, domain 3 "
3235 1.20.1050.80 "VPS9 domain "
3236 1.20.1050.90 "RecF/RecN/SMC, N-terminal domain "
3237 1.20.1050.100 
3238 1.20.1050.110 
3239 1.20.1050.120 
3240 1.20.1050.130 
3241 1.20.1050.140 
3242 1.20.1060.10 "Taq DNA Polymerase; Chain T, domain 4 "
3243 1.20.1060.20 
3244 1.20.1070.10 "Rhodopsin 7-helix transmembrane proteins "
3245 1.20.1080.10 "Glycerol uptake facilitator protein. "
3246 1.20.1090.10 "Dehydroquinate synthase-like - alpha domain "
3247 1.20.1110.10 "Calcium-transporting ATPase, transmembrane domain "
3248 1.20.1120.10 "Clostridium botulinum neurotoxin b, ""coiled-coil"" domain "
3249 1.20.1130.10 "Photosystem I PsaA/PsaB "
3250 1.20.1150.12 "Endoplasmic reticulum resident protein 29, C-terminal domain "
3251 1.20.1160.11 "Paired amphipathic helix "
3252 1.20.1160.20 
3253 1.20.1170.10 
3254 1.20.1180.10 "Udp N-acetylglucosamine O-acyltransferase, C-terminal domain "
3255 1.20.1200.10 "Cobalamin adenosyltransferase-like "
3256 1.20.1220.12 "Malate synthase, domain III "
3257 1.20.1220.20 "Uncharcterised protein PF01724 "
3258 1.20.1230.10 "Phospholipase C beta, distal C-terminal domain "
3259 1.20.1240.10 "Photosystem I PsaL, reaction centre subunit XI "
3260 1.20.1250.10 
3261 1.20.1250.20 "MFS general substrate transporter like domains "
3262 1.20.1250.30 
3263 1.20.1250.40 
3264 1.20.1250.50 
3265 1.20.1250.60 "Interferon lambda "
3266 1.20.1250.70 "Interleukin-15/Interleukin-21 "
3267 1.20.1250.80 "Interleukin-34 "
3268 1.20.1250.90 "Thymic stromal lymphopoietin "
3269 1.20.1260.10 
3270 1.20.1260.20 "PPE superfamily "
3271 1.20.1260.30 
3272 1.20.1260.40 
3273 1.20.1260.60 "Vacuolar protein sorting-associated protein Ist1 "
3274 1.20.1260.70 
3275 1.20.1260.80 
3276 1.20.1260.90 
3277 1.20.1260.100 "TspO/MBR protein "
3278 1.20.1260.110 "DNA integrity scanning linker region "
3279 1.20.1260.120 "Protein of unknown function DUF2935 "
3280 1.20.1260.140 "Alternative oxidase "
3281 1.20.1270.10 
3282 1.20.1270.20 
3283 1.20.1270.30 
3284 1.20.1270.50 "Glycoside hydrolase family 38, central domain "
3285 1.20.1270.60 "Arfaptin homology (AH) domain/BAR domain "
3286 1.20.1270.70 "Designed single chain three-helix bundle "
3287 1.20.1270.90 "AF1782-like "
3288 1.20.1270.110 "Uncharacterised protein family UPF0058 "
3289 1.20.1270.130 "Shigella T3SS effector IpaH domain "
3290 1.20.1270.140 "AvrPto "
3291 1.20.1270.150 "Surface Active Protein "
3292 1.20.1270.160 
3293 1.20.1270.170 
3294 1.20.1270.180 
3295 1.20.1270.190 
3296 1.20.1270.210 
3297 1.20.1270.220 
3298 1.20.1270.230 "DNA terminal protein Gp3, priming domain "
3299 1.20.1270.240 
3300 1.20.1270.250 
3301 1.20.1270.260 
3302 1.20.1270.270 "VP1, C-terminal extension domain "
3303 1.20.1270.280 
3304 1.20.1270.290 
3305 1.20.1270.310 
3306 1.20.1270.320 "Poxvirus poly(A) polymerase, N domain "
3307 1.20.1270.330 
3308 1.20.1270.340 
3309 1.20.1270.350 "Dedicator of cytokinesis N-terminal subdomain "
3310 1.20.1270.360 
3311 1.20.1270.370 
3312 1.20.1270.380 "MatP, N-terminal domain "
3313 1.20.1270.390 
3314 1.20.1270.410 
3315 1.20.1270.420 
3316 1.20.1270.430 
3317 1.20.1270.440 
3318 1.20.1270.460 
3319 1.20.1280.10 "Methane monooxygenase, gamma chain, domain 1 "
3320 1.20.1280.20 "HscB, C-terminal domain "
3321 1.20.1280.30 "Methane monooxygenase, gamma chain, domain 2 "
3322 1.20.1280.40 "HHA "
3323 1.20.1280.50 
3324 1.20.1280.70 "Exonuclease ExoI, domain 3 "
3325 1.20.1280.80 
3326 1.20.1280.100 "Pas factor, saposin domain "
3327 1.20.1280.110 
3328 1.20.1280.120 
3329 1.20.1280.130 
3330 1.20.1280.140 
3331 1.20.1280.150 "Hepatitis C virus non-structural protein NS2, N-terminal domain "
3332 1.20.1280.160 
3333 1.20.1280.170 "Exocyst complex component Exo70 "
3334 1.20.1280.180 
3335 1.20.1280.200 "Orbivirus VP4 core protein, C-terminal domain "
3336 1.20.1280.210 
3337 1.20.1280.220 "Effector protein HopAB, BAK1-interacting domain "
3338 1.20.1280.240 
3339 1.20.1280.250 
3340 1.20.1280.260 
3341 1.20.1280.270 
3342 1.20.1280.280 
3343 1.20.1280.290 
3344 1.20.1280.300 
3345 1.20.1280.310 
3346 1.20.1290.10 "AhpD-like "
3347 1.20.1290.30 
3348 1.20.1300.10 "Fumarate reductase/succinate dehydrogenase, transmembrane subunit "
3349 1.20.1300.20 "Peptidase C65 Otubain, subdomain 2 "
3350 1.20.1310.10 "Cullin Repeats "
3351 1.20.1310.20 "Duffy-antigen binding domain "
3352 1.20.1310.30 
3353 1.20.1320.20 "hef helicase domain "
3354 1.20.1320.30 
3355 1.20.1330.10 "f41 fragment of flagellin, N-terminal domain "
3356 1.20.1340.10 "dopa decarboxylase, N-terminal domain "
3357 1.20.1370.10 "Hemocyanin, N-terminal domain "
3358 1.20.1370.20 
3359 1.20.1370.30 
3360 1.20.1370.60 
3361 1.20.1380.10 "Replication modulator SeqA, C-terminal DNA-binding domain "
3362 1.20.1390.10 "PWI domain "
3363 1.20.1390.20 
3364 1.20.1400.10 "Attractin "
3365 1.20.1410.10 "I/LWEQ domain "
3366 1.20.1420.10 "Talin, central domain "
3367 1.20.1420.20 "M75 peptidase, HXXE motif "
3368 1.20.1420.30 "NCX, central ion-binding region "
3369 1.20.1420.40 "Decorin-binding protein "
3370 1.20.1420.60 
3371 1.20.1430.10 "Families 57/38 glycoside transferase, middle domain "
3372 1.20.1440.20 "LemA-like domain "
3373 1.20.1440.30 "Biosynthetic Protein domain "
3374 1.20.1440.40 "YqcC-like "
3375 1.20.1440.50 "Ta0600-like "
3376 1.20.1440.60 "23S rRNA-intervening sequence "
3377 1.20.1440.70 "PA2201 N-terminal domain-like "
3378 1.20.1440.80 "Gap junction channel protein cysteine-rich domain "
3379 1.20.1440.90 "Phosphoenolpyruvate/pyruvate domain "
3380 1.20.1440.100 "SG protein - dephosphorylation function "
3381 1.20.1440.110 "acylaminoacyl peptidase "
3382 1.20.1440.120 "Recombination protein O, C-terminal domain "
3383 1.20.1440.130 "VKOR domain "
3384 1.20.1440.140 
3385 1.20.1440.150 
3386 1.20.1440.160 "Tumor necrosis factor alpha-induced protein 8-like "
3387 1.20.1440.170 "Translation machinery-associated protein 16-like "
3388 1.20.1440.180 "KEN domain "
3389 1.20.1440.190 "Tenuivirus movement protein "
3390 1.20.1440.200 
3391 1.20.1440.210 
3392 1.20.1440.230 "NADH-ubiquinone oxidoreductase 51kDa subunit, iron-sulphur binding domain "
3393 1.20.1440.240 
3394 1.20.1440.250 
3395 1.20.1440.260 
3396 1.20.1440.270 
3397 1.20.1440.280 
3398 1.20.1440.300 "RNA-directed RNA polymerase L, helical domain "
3399 1.20.1440.310 
3400 1.20.1440.320 
3401 1.20.1440.330 
3402 1.20.1440.340 
3403 1.20.1440.360 
3404 1.20.1440.370 
3405 1.20.1450.10 "Ammonia/particulate methane monooxygenase, subunit A "
3406 1.20.1460.10 "subunit c (vma5p) of the yeast v-atpase, domain 2 "
3407 1.20.1460.20 
3408 1.20.1480.10 "hypothetical protein mp506/mpn330, domain 1 "
3409 1.20.1480.20 "MAST3 pre-PK domain-like "
3410 1.20.1480.30 "Designed four-helix bundle protein "
3411 1.20.1480.40 "Uncharacterised protein PF16133, DUF4844 "
3412 1.20.1500.10 "YheA/YmcA-like "
3413 1.20.1500.20 
3414 1.20.1510.10 "Cation efflux protein transmembrane domain "
3415 1.20.1520.10 "ADP-ribosylation factor-like 2-binding protein, domain "
3416 1.20.1530.10 "Na+/H+ antiporter like domain "
3417 1.20.1530.20 
3418 1.20.1540.10 "Rhomboid-like "
3419 1.20.1550.10 "DsbB-like "
3420 1.20.1560.10 "ABC transporter type 1, transmembrane domain "
3421 1.20.1570.10 "dip2346 domain like "
3422 1.20.1580.10 "ABC transporter ATPase like domain "
3423 1.20.1590.10 "YP_001051499.1 domain like "
3424 1.20.1600.10 "Outer membrane efflux proteins (OEP) "
3425 1.20.1610.10 "alpha-1,2-mannosidases domains "
3426 1.20.1630.10 "Formate dehydrogenase/DMSO reductase domain "
3427 1.20.1640.10 "Multidrug efflux transporter AcrB transmembrane domain "
3428 1.20.1650.10 "PLP-dependent transferases "
3429 1.20.1660.10 "Hypothetical protein (EF3068) "
3430 1.20.1670.10 "Type II deoxyuridine triphosphatase "
3431 1.20.1680.10 "Type II deoxyuridine triphosphatase "
3432 1.20.1690.10 "V-type ATP synthase subunit C domain "
3433 1.20.1690.20 
3434 1.20.1690.30 
3435 1.20.1700.10 "AF1104-like "
3436 1.20.1700.20 
3437 1.20.1710.10 "IpaD-like "
3438 1.20.1720.10 "Multidrug resistance protein D "
3439 1.20.1730.10 "Sodium/glucose cotransporter "
3440 1.20.1740.10 "Amino acid/polyamine transporter I "
3441 1.25.10.10 "Leucine-rich Repeat Variant "
3442 1.25.10.20 "Vitellinogen, superhelical "
3443 1.25.10.30 "IP3 receptor type 1 binding core, RIH domain "
3444 1.25.10.50 
3445 1.25.10.60 "Rad61, Wapl domain "
3446 1.25.10.70 
3447 1.25.10.90 
3448 1.25.10.100 
3449 1.25.20.10 "Bacterial muramidases "
3450 1.25.40.10 "Tetratricopeptide repeat domain "
3451 1.25.40.20 "Ankyrin repeat-containing domain "
3452 1.25.40.30 
3453 1.25.40.40 "Cytochrome c oxidase, subunit Va/VI "
3454 1.25.40.60 
3455 1.25.40.70 "Phosphatidylinositol 3-kinase, accessory domain (PIK) "
3456 1.25.40.80 
3457 1.25.40.90 
3458 1.25.40.120 "Protein prenylyltransferase "
3459 1.25.40.150 "V-type ATPase, subunit H, C-terminal domain "
3460 1.25.40.170 "Smaug, PHAT domain "
3461 1.25.40.180 
3462 1.25.40.190 "Actin-related protein 2/3 complex subunit 5 "
3463 1.25.40.200 "Ran-GTPase activating protein 1, C-terminal domain "
3464 1.25.40.210 "Telomere repeat-binding factor, dimerisation domain "
3465 1.25.40.240 "Ku, C-terminal domain "
3466 1.25.40.250 "ARM repeat; domain 1 "
3467 1.25.40.270 "Vacuolar protein sorting-associated protein vta1 "
3468 1.25.40.280 "alix/aip1 like domains "
3469 1.25.40.290 "ARM repeat domains "
3470 1.25.40.300 "Putative secreted effector protein "
3471 1.25.40.310 "Aconitate B, HEAT-like domain "
3472 1.25.40.320 "Peptidase M1, leukotriene A4 hydrolase/aminopeptidase C-terminal domain "
3473 1.25.40.330 "Adenylate cyclase-associated CAP, N-terminal domain "
3474 1.25.40.340 
3475 1.25.40.350 
3476 1.25.40.370 
3477 1.25.40.380 "Protein of unknown function DUF1810 "
3478 1.25.40.390 
3479 1.25.40.400 
3480 1.25.40.410 
3481 1.25.40.420 
3482 1.25.40.430 
3483 1.25.40.440 "Nucleoporin, helical domain, central subdomain "
3484 1.25.40.450 "Nucleoporin, helical domain, N-terminal subdomain "
3485 1.25.40.460 
3486 1.25.40.470 
3487 1.25.40.480 
3488 1.25.40.490 
3489 1.25.40.500 "TFIID subunit TAF5, NTD2 domain "
3490 1.25.40.510 "GLE1-like "
3491 1.25.40.520 
3492 1.25.40.530 "MyTH4 domain "
3493 1.25.40.540 "TAP42-like family "
3494 1.25.40.550 "Aar2, C-terminal domain-like "
3495 1.25.40.560 
3496 1.25.40.570 
3497 1.25.40.580 
3498 1.25.40.590 "Type IV / VI secretion system, DotU "
3499 1.25.40.600 
3500 1.25.40.610 
3501 1.25.40.620 
3502 1.25.40.630 
3503 1.25.40.640 "Avirulence protein ATR13 "
3504 1.25.40.650 
3505 1.25.40.660 "Vacuolar protein sorting-associated protein 35, helical subcomplex Vps35-C "
3506 1.25.40.670 
3507 1.25.40.680 "Type VII secretion system EssB, C-terminal-like domain "
3508 1.25.40.690 
3509 1.25.40.700 
3510 1.25.40.710 
3511 1.25.40.720 "Telomere length regulation protein 2, C-terminal domain "
3512 1.25.40.730 
3513 1.25.40.740 
3514 1.25.40.750 "Domain of unknown function DUF5071 "
3515 1.25.40.760 
3516 1.25.40.770 "TAF6, C-terminal HEAT repeat domain "
3517 1.25.40.780 
3518 1.25.40.790 
3519 1.25.40.800 
3520 1.25.40.810 "UpxZ "
3521 1.25.40.820 
3522 1.25.40.830 
3523 1.25.40.840 "CCR4-NOT transcription complex subunit 1 TTP binding domain "
3524 1.25.40.850 
3525 1.25.40.860 
3526 1.25.40.880 "Alkyl sulfatase, dimerisation domain "
3527 1.25.40.890 
3528 1.25.40.900 
3529 1.25.40.920 "TRAP transporter T-component "
3530 1.25.40.930 
3531 1.25.40.950 
3532 1.25.40.970 
3533 1.25.40.980 
3534 1.25.40.990 
3535 1.25.40.1000 
3536 1.25.40.1010 
3537 1.25.40.1030 
3538 1.25.40.1040 
3539 1.25.40.1050 
3540 1.25.50.10 "Peptidase M1, alanyl aminopeptidase, C-terminal domain "
3541 1.25.50.20 
3542 1.25.60.10 "MgtE N-terminal domain-like "
3543 1.25.70.10 "Transcription termination factor 3, mitochondrial "
3544 1.40.10.10 "Peridinin-chlorophyll A binding "
3545 1.40.20.10 "CHAD domain "
3546 1.50.10.10 
3547 1.50.10.20 
3548 1.50.10.100 "Chondroitin AC/alginate lyase "
3549 1.50.10.130 "Terpene synthase, N-terminal domain "
3550 1.50.10.140 
3551 1.50.10.150 "Voltage-dependent anion channel "
3552 1.50.10.160 
3553 1.50.40.10 "Mitochondrial carrier domain "
3554 2.10.10.10 "Fibronectin, type II, collagen-binding "
3555 2.10.10.20 "Carbohydrate-binding module superfamily 5/12 "
3556 2.10.10.30 
3557 2.10.10.40 
3558 2.10.10.70 "Filoviridae VP35, C-terminal inhibitory domain, beta-sheet subdomain "
3559 2.10.10.80 
3560 2.10.10.90 
3561 2.10.10.100 
3562 2.10.22.10 "Antistasin; domain 1 "
3563 2.10.25.10 "Laminin "
3564 2.10.25.20 "reovirus attachment protein sigma1; domain 1 "
3565 2.10.25.30 "EGF-like, alliinase "
3566 2.10.25.60 
3567 2.10.25.90 
3568 2.10.25.140 
3569 2.10.25.160 "Granulin "
3570 2.10.50.10 "Tumor Necrosis Factor Receptor, subunit A, domain 2 "
3571 2.10.50.20 "Inosine monophosphate dehydrogenase (IMPDH) "
3572 2.10.50.30 "GPCR, family 3, nine cysteines domain "
3573 2.10.50.40 
3574 2.10.55.10 "Leishmanolysin domain 3 "
3575 2.10.60.10 "CD59 "
3576 2.10.69.10 "Cysteine Protease (Bromelain) Inhibitor, subunit H "
3577 2.10.70.10 "Complement Module, domain 1 "
3578 2.10.70.20 "gspk-gspi-gspj complex like domains "
3579 2.10.70.30 "Ta1353-like "
3580 2.10.70.40 "peptidoglycan hydrolase "
3581 2.10.70.50 
3582 2.10.70.60 "Phospholipase B-like, domain 1 "
3583 2.10.70.70 
3584 2.10.70.80 
3585 2.10.70.100 
3586 2.10.70.110 
3587 2.10.77.10 "Hemagglutinin Chain A, Domain 2 "
3588 2.10.80.10 "Lipase, subunit A "
3589 2.10.80.20 
3590 2.10.90.10 "Cystine-knot cytokines "
3591 2.10.109.10 "Umud Fragment, subunit A "
3592 2.10.110.10 "Cysteine Rich Protein "
3593 2.10.110.20 
3594 2.10.110.30 
3595 2.10.110.40 
3596 2.10.150.10 "Urease, beta subunit "
3597 2.10.160.10 "Vascular endothelial growth factor, heparin-binding domain "
3598 2.10.210.10 "Cytochrome Bc1 Complex; Chain I "
3599 2.10.220.10 "Hormone Receptor, Insulin-like Growth Factor Receptor 1; Chain A, domain 2 "
3600 2.10.230.10 "Heat shock protein DnaJ, cysteine-rich domain "
3601 2.10.240.10 "Dihydroorotate dehydrogenase, electron transfer subunit "
3602 2.10.250.10 "Calreticulin/calnexin, P domain "
3603 2.10.260.10 
3604 2.10.270.10 "Cholin Binding "
3605 2.10.270.20 
3606 2.10.280.10 "heat- and protease-stable fragment of the bacteriophage t4 short fibre, domain 1 "
3607 2.10.290.10 "YfgJ-like "
3608 2.10.300.10 "Porin MspA ribbon domain "
3609 2.10.310.10 "Serpins superfamily "
3610 2.20.20.10 "Anthopleurin-A "
3611 2.20.20.20 "Baseplate structural protein gp11, C-terminal domain "
3612 2.20.20.30 "reverse gyrase domain "
3613 2.20.20.40 "Integron cassette protein "
3614 2.20.20.60 
3615 2.20.20.70 
3616 2.20.20.100 "LuxQ periplasmic domain, C-terminal subdomain "
3617 2.20.20.110 "Rad4, beta-hairpin domain BHD1 "
3618 2.20.20.130 
3619 2.20.20.150 
3620 2.20.20.160 
3621 2.20.25.10 
3622 2.20.25.20 
3623 2.20.25.30 
3624 2.20.25.80 "WRKY domain "
3625 2.20.25.90 "ADC-like domains "
3626 2.20.25.100 "Zn-binding ribosomal proteins "
3627 2.20.25.110 "S-adenosyl-L-methionine-dependent methyltransferases "
3628 2.20.25.120 
3629 2.20.25.130 "Zinc stem-like domain "
3630 2.20.25.140 
3631 2.20.25.160 
3632 2.20.25.180 
3633 2.20.25.190 
3634 2.20.25.210 "Hepatitis C NS5A, domain 1B "
3635 2.20.25.220 "Hepatitis C virus NS5A, 1B domain "
3636 2.20.25.230 
3637 2.20.25.240 
3638 2.20.25.270 
3639 2.20.25.290 
3640 2.20.25.340 
3641 2.20.25.350 
3642 2.20.25.370 "Ipi1, C-terminal domain "
3643 2.20.25.390 "Stomagen "
3644 2.20.25.400 
3645 2.20.25.420 "ZPR1, zinc finger domain "
3646 2.20.25.440 
3647 2.20.25.450 
3648 2.20.25.500 
3649 2.20.25.510 
3650 2.20.25.530 
3651 2.20.25.540 
3652 2.20.25.560 
3653 2.20.25.570 
3654 2.20.25.590 
3655 2.20.25.630 
3656 2.20.25.650 "Tachylectin-2-like "
3657 2.20.25.670 "GCM domain, large subdomain "
3658 2.20.25.680 
3659 2.20.25.690 
3660 2.20.28.10 
3661 2.20.28.20 "Methionyl-tRNA synthetase, Zn-domain "
3662 2.20.28.30 "RNA polymerase ii, chain L "
3663 2.20.28.40 "H/ACA ribonucleoprotein complex, subunit Nop10 "
3664 2.20.28.50 "degv family protein "
3665 2.20.28.60 
3666 2.20.28.90 
3667 2.20.28.100 "Desulphoferrodoxin, N-terminal domain "
3668 2.20.28.120 "Ribosomal protein L33 "
3669 2.20.28.150 
3670 2.20.28.160 
3671 2.20.28.180 "Arenavirus glycoprotein, zinc binding domain "
3672 2.20.28.200 
3673 2.20.28.230 
3674 2.20.28.240 
3675 2.20.28.270 "RNA polymerase-binding protein A "
3676 2.20.28.290 
3677 2.20.28.300 
3678 2.20.50.20 "Lipovitellin. Chain A, domain 3 "
3679 2.20.60.10 "Pleiotrophin/Midkine, N-terminal domain "
3680 2.20.70.10 
3681 2.20.70.20 
3682 2.20.70.30 "Nascent polypeptide-associated complex domain "
3683 2.20.70.60 
3684 2.20.70.70 
3685 2.20.70.90 
3686 2.20.70.100 
3687 2.20.70.110 
3688 2.20.70.140 
3689 2.20.70.150 
3690 2.20.80.10 "Lipovitellin-phosvitin complex, chain A, domain 4 "
3691 2.20.90.10 "Vitellinogen, beta-sheet shell domain "
3692 2.20.100.10 "Thrombospondin type-1 (TSP1) repeat "
3693 2.20.110.10 "Histone H3 K4-specific methyltransferase SET7/9 N-terminal domain "
3694 2.20.120.10 "Multimodular pneumococcal cell wall endolysin, domain 3 "
3695 2.20.130.10 "CAC2371-like domains "
3696 2.20.130.20 
3697 2.20.130.30 "Protein of unknown function DUF2782 "
3698 2.20.140.10 "WGR domain "
3699 2.20.140.20 
3700 2.20.150.10 "putative 5-dehydro-2- deoxygluconokinase "
3701 2.20.150.30 
3702 2.20.160.10 "titin domain like "
3703 2.20.170.10 "p120GAP domain-like "
3704 2.20.180.10 "putative fmn-dependent nitroreductase like domains "
3705 2.20.200.10 "Outer membrane efflux proteins (OEP) "
3706 2.20.210.10 "ubp-family deubiquitinating enzyme superfamily "
3707 2.20.210.20 
3708 2.20.210.30 
3709 2.20.220.10 "alpha-Amylases "
3710 2.20.220.20 
3711 2.20.230.10 "Resuscitation-promoting factor rpfb. "
3712 2.20.230.30 
3713 2.30.18.10 "Transcription factor IIA (TFIIA), beta-barrel domain "
3714 2.30.22.10 "Head domain of nucleotide exchange factor GrpE "
3715 2.30.24.10 "CAT RNA-binding domain "
3716 2.30.26.10 "Dihydroorotate Dehydrogenase A, chain A, domain 2 "
3717 2.30.27.10 "Phage FD Coat Protein,Membrane penetration domain "
3718 2.30.29.30 "Pleckstrin-homology domain (PH domain)/Phosphotyrosine-binding domain (PTB) "
3719 2.30.29.50 "Bacterial Pleckstrin homology domain "
3720 2.30.29.70 "Proteasomal ubiquitin receptor Rpn13/ADRM1 "
3721 2.30.29.80 
3722 2.30.29.90 
3723 2.30.29.100 
3724 2.30.29.110 
3725 2.30.29.120 
3726 2.30.29.130 
3727 2.30.29.140 
3728 2.30.29.150 
3729 2.30.29.160 "Zinc finger FYVE domain-containing protein 21, C-terminal "
3730 2.30.29.170 
3731 2.30.29.180 "Ubiquitin carboxyl-terminal hydrolase 26/29/37, pleckstrin homology-like domain "
3732 2.30.29.190 
3733 2.30.29.200 
3734 2.30.29.210 "FACT complex subunit Spt16p/Cdc68p "
3735 2.30.29.220 "Structure-specific recognition protein (SSRP1) "
3736 2.30.29.230 
3737 2.30.29.240 
3738 2.30.30.10 "Integrase, C-terminal domain superfamily, retroviral "
3739 2.30.30.20 "Aspartate carbamoyltransferase regulatory subunit, C-terminal domain "
3740 2.30.30.30 
3741 2.30.30.40 "SH3 Domains "
3742 2.30.30.50 
3743 2.30.30.60 
3744 2.30.30.70 "Ribosomal protein L21 "
3745 2.30.30.90 
3746 2.30.30.100 
3747 2.30.30.110 
3748 2.30.30.130 "Transposase, Mu, C-terminal "
3749 2.30.30.140 
3750 2.30.30.150 "KorB, C-terminal domain "
3751 2.30.30.170 
3752 2.30.30.180 "Ribosome maturation factor RimP, C-terminal domain "
3753 2.30.30.190 "CAP Gly-rich-like domain "
3754 2.30.30.210 "Ribonuclease P/MRP, subunit p29 "
3755 2.30.30.220 "SspB-like "
3756 2.30.30.230 "Fumarylacetoacetase, N-terminal domain "
3757 2.30.30.240 "PRC-barrel domain "
3758 2.30.30.280 "Adenine nucleotide alpha hydrolases-like domains "
3759 2.30.30.290 "YopX-like domains "
3760 2.30.30.300 "class i lysyl-tRNA synthetase like "
3761 2.30.30.310 "YopX-like domains "
3762 2.30.30.320 "DUF1653-like domain "
3763 2.30.30.340 "Hypothetical protein YfhH like domains "
3764 2.30.30.350 "mobile metagenome of vibrio cholerae. Integron cassette protein vch_cass4. "
3765 2.30.30.360 "Myosin S1 fragment, N-terminal "
3766 2.30.30.370 "FAH "
3767 2.30.30.380 "Zn-finger domain of Sec23/24 "
3768 2.30.30.390 "Hemimethylated DNA-binding domain "
3769 2.30.30.400 "Rof-like "
3770 2.30.30.420 "glucansucrase "
3771 2.30.30.430 "Kinase associated protein B domain "
3772 2.30.30.440 "Domain of unknown function DUF1918 "
3773 2.30.30.460 
3774 2.30.30.470 "Penicillin-binding protein Tp47, domain B "
3775 2.30.30.480 
3776 2.30.30.490 
3777 2.30.30.520 
3778 2.30.30.530 "Calcium binding protein CcbP, beta-barrel domain "
3779 2.30.30.550 "Major Vault Protein repeat "
3780 2.30.30.560 
3781 2.30.30.570 
3782 2.30.30.600 
3783 2.30.30.610 "Chromatin protein Cren7 "
3784 2.30.30.620 
